Colony,Date,Survey.Start,Survey.End,Sparrow,Hedge,Grass,Tree,Roof,Artificial.Surface,Bush,Bird.Feeder,Colony.Size,DistHdg,DistRf,Aflag
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-1.148933098,-1.109323047,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-1.148933098,-1.109323047,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-1.148933098,0.42764397,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-1.148933098,0.42764397,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-0.889200574,-0.791434268,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-0.889200574,-0.791434268,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,1.17196253,-0.465976709,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,1.17196253,-0.465976709,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,-1.148933098,-0.327215734,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,-1.148933098,-1.092167145,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,-1.148933098,0.726358505,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,-0.709243039,-0.196528125,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,0.05882314,-0.005794857,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,0.122828655,-0.043134174,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0.1,0,0,0.9,0,0,13,0.263826311,-0.039097491,0
Anniesland 2,15/11/17,09:30,12:00,1,0,1,0,0,0,0,0,13,0.805554147,0.868146992,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,13,0.818540774,0.41452475,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,13,0.870487278,0.361543287,0
Anniesland 2,15/11/17,09:30,12:00,1,0,1,0,0,0,0,0,13,1.093115156,0.217736459,0
Anniesland 2,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,13,1.461378771,-0.800516805,0
Anniesland 2,15/11/17,09:30,12:00,0,0,0.9,0,0,0.1,0,0,0,-1.148933098,-0.218225295,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,-1.148933098,1.722914597,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,-1.032981078,1.406034989,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0.6,0,0,0.4,0,0,0,-0.878996796,1.54630972,1
Anniesland 2,15/11/17,09:30,12:00,0,0,1,0,0,0,0,0,0,-0.412405868,-0.091574369,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,-0.196271303,1.241540161,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0.7,0,0,0.3,0,0,0,-0.128555324,1.575071086,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.093144938,2.343554594,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.220228352,0.312598507,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,0.229504513,0.779844553,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0.8,0,0,0,0.2,0,0,0.633945158,0.194020947,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.752680026,2.046858401,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.883473905,1.213787966,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,0.991077379,0.600716749,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,1.004064005,0.523515189,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,1.109812247,0.738973139,1
Anniesland 2,15/11/17,09:30,12:00,0,0,1,0,0,0,0,0,0,1.315743034,-0.720792317,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,1.393662792,1.28947577,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,2.338903657,1.468603574,1
Anniesland 2,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,2.585649555,0.970577821,1
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-1.148933098,0.414020165,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-1.148933098,0.414020165,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-1.148933098,0.414020165,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-0.480121848,0.091085532,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-0.480121848,0.091085532,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,5,0.323193745,-0.338821197,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,1,0,0,0,5,0.323193745,-0.338821197,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,0.928927096,-1.156249486,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,0.928927096,-1.156249486,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,-1.148933098,-0.914048511,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-0.606277645,0.350442409,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,-0.190705607,0.282323385,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,0.367719321,0.813147187,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,0.467901866,0.697597139,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,0.498513199,0.152644947,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,1,0,0,0,0,5,0.570867259,1.110347966,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0,0,0,0,1,0,5,0.911302389,-1.37776246,0
Anniesland 3,15/11/17,09:30,12:00,1,0,0.1,0,0,0,0.9,0,5,0.924289016,-0.005794857,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-1.148933098,-0.872672512,0
Anniesland 3,15/11/17,09:30,12:00,1,1,0,0,0,0,0,0,5,-1.148933098,0.136498215,0
Anniesland 3,15/11/17,09:30,12:00,0,0,0,1,0,0,0,0,0,-0.6897631,-0.422582368,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,-0.675848857,-1.162809096,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,0,1,0,0,-0.345617505,1.255163966,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.472539947,0.902963382,1
Anniesland 3,15/11/17,09:30,12:00,0,0.5,0,0,0,0.5,0,0,0,-1.148933098,1.237503478,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,0.683108814,-0.254555442,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,0.801843683,1.460530209,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0.1,0,0,0.9,0,0,0,1.189587237,2.408646106,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0.7,0,0,0.3,0,0,0,1.418708428,-0.708682269,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,1.801813901,0.172323776,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0.3,0,0.7,0,0,0,1.953015335,-0.43973827,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,2.371370222,-0.583040513,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,1,0,0,0,0,0,2.556893454,-0.477077587,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,2.761896625,-0.551251635,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,1,0,0,0,0,3.109752684,-0.747535342,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0.2,0,0,0,0.8,0,0,3.205297149,0.297460946,1
Anniesland 3,15/11/17,09:30,12:00,0,0.5,0.5,0,0,0,0,0,0,-1.148933098,0.494753823,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,1,0,0,0,4.174656034,1.10126543,1
Anniesland 3,15/11/17,09:30,12:00,0,0.9,0.1,0,0,0,0,0,0,-1.148933098,0.609294701,1
Anniesland 3,15/11/17,09:30,12:00,0,0,0,0,0,0,1,0,0,6.393513884,1.121448844,1
Baronald Drive B,05/07/16,13.09,13.23,1,0.1,0.1,0,0.8,0,0,0,6,-0.771524951,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0.1,0.1,0,0.8,0,0,0,6,-0.771524951,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0.1,0.1,0,0.8,0,0,0,6,-0.771524951,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0.8,0.2,0,0,0,0,0,6,-1.085004518,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0.8,0.2,0,0,0,0,0,6,-1.085004518,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.1,0.9,0,0,0,0,6,-0.771524951,-0.422627312,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.1,0.9,0,0,0,0,6,-0.771524951,-0.422627312,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.5,0,0,0,0.5,0,6,-0.771524951,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.5,0,0,0,0.5,0,6,-0.771524951,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,0.4,0,0.6,0,6,-0.458045385,-0.753030447,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,0.4,0,0.6,0,6,-0.458045385,-0.753030447,0
Baronald Drive B,05/07/16,13.09,13.23,1,0.5,0,0,0,0.5,0,0,6,-1.085004518,-0.422627312,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,0,0,1,0,6,-0.771524951,0.238178959,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,0,0,1,0,6,-0.771524951,0.238178959,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,0,0,1,0,6,-0.771524951,-0.753030447,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.1,0,0,0.2,0.7,0,6,-0.458045385,-0.422627312,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.7,0.3,0,0,0,0,6,-0.144565819,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
